FAKE_ACCTCODE,OPT_IN_DATE,FUEL_ONLY_PARENT_ACCT,CLI_AMOUNT,FLEETCOR_OPEN_DATE,CITY,STATE,ZIP,TERM_DAYS,DUE_DAYS,LOCK_DAYS,CREDIT_LIMIT,LOCK_CODE,LOCK_REASON,LOCK_TYPE,DEPOSIT_FLAG,PORTFOLIO,LOB_REPORTING,YEARMONTH,GALLONS,FUEL_SPEND,NONFUEL_SPEND,TOT_SPEND,PAYMENT_AMOUNT,NO_OF_PAYMENT,SNAPSHOT_DATE,CURRENT_BALANCE,UNBILLED_BALANCE,DAYS_PAST_DUE,BAL_1_30,BAL_31_60,BAL_61_90,BAL_90_PLUS
140011,5/24/2022,0,500.00,4/13/2022,INDEPENDENCE,MO,64056,30,7,5,500,I,BAD AGENCY,PERM LOCK,0,FMMC,NAL MC,202210,56.702,226.17,76.7,302.87,757.65,2,44835,0,0,31,11.38,1669.59,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1669.59,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1669.59,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,185,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
